secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Post-primaire,8,57,14.0,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Primaire,16,57,28.1,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Secondaire/Lycée,18,57,31.6,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Hôte,Alphabétisation,3,82,3.7,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Hôte,Aucun,6,82,7.3,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Hôte,Post-primaire,19,82,23.2,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Hôte,Primaire,17,82,20.7,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Hôte,Secondaire/Lycée,37,82,45.1,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Alphabétisation,1,59,1.7,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Aucun,21,59,35.6,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Primaire,24,59,40.7,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Secondaire/Lycée,13,59,22.0,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Hôte,Alphabétisation,5,94,5.3,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Hôte,Aucun,21,94,22.3,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Hôte,Primaire,28,94,29.8,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Garçons,Hôte,Secondaire/Lycée,40,94,42.6,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Alphabétisation,3,68,4.4,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Aucun,23,68,33.8,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Post-primaire,8,68,11.8,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Primaire,23,68,33.8,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Secondaire/Lycée,10,68,14.7,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,École coranique,1,68,1.5,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,Alphabétisation,3,103,2.9,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,Aucun,11,103,10.7,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,Post-primaire,24,103,23.3,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,Primaire,37,103,35.9,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,Secondaire/Lycée,27,103,26.2,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Hôte,École coranique,1,103,1.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Filles,Retour volontaire,Primaire,1,1,100.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Alphabétisation,1,75,1.3,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Aucun,32,75,42.7,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Post-primaire,2,75,2.7,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Primaire,21,75,28.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Secondaire/Lycée,15,75,20.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,École coranique,4,75,5.3,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,Alphabétisation,2,100,2.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,Aucun,27,100,27.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,Post-primaire,5,100,5.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,Primaire,25,100,25.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,Secondaire/Lycée,40,100,40.0,%
Education,Niveau d’instruction,Adolescent.e.s,Yaadga,Garçons,Hôte,École coranique,1,100,1.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Non,30,30,100.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Filles,Hôte,Non,44,49,89.8,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Filles,Hôte,Oui,5,49,10.2,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Non,35,37,94.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Oui,2,37,5.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Garçons,Hôte,Non,47,49,95.9,%
